country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63.0,4,104.15575378733499,High
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71.0,4,210.1290372718027,Medium
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20.0,2,63.78993059853605,Medium
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7.0,9,62.85263604926288,Medium
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68.0,3,91.78691521459709,High
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unattributed,Social Engineering,Antivirus,25.0,2,344.4588202706162,High
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34.0,1,77.12249166400007,Low
France,2018,SQL Injection,Government,59.23,909991,Unattributed,Social Engineering,Antivirus,66.0,3,65.08855582088175,High
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unattributed,Social Engineering,VPN,47.0,1,24.174757142509335,Medium
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58.0,8,100.79789831862574,Medium
China,2019,Phishing,Telecommunications,88.67,493675,Unattributed,Zero-day,VPN,29.0,4,179.6120929761483,High
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27.0,1,42.14959685827483,High
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37.0,4,52.40018929911317,Medium
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35.0,8,97.31625866751584,Medium
France,2024,DDoS,IT,48.01,922258,Unattributed,Social Engineering,Encryption,64.0,9,52.057016583212075,High
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36.0,7,532.4160312611248,Medium
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67.0,2,15.338325346582636,High
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56.0,0,115.6619204796356,High
