country,year,years_since_2015,attack_type,target_industry,financial_loss_million,affected_users,loss_per_user_usd,attack_source,vulnerability_type,defense_mechanism,impact_level,resolution_time_hours,cluster,risk_profile
Germany,2018,3,Man-in-the-Middle,IT,74.41,810682,91.79,Insider,Social Engineering,VPN,High,68.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2015,0,Ransomware,Retail,49.55,920172,53.85,Hacker Group,Weak Passwords,Antivirus,High,43.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2022,7,Malware,Education,53.04,570494,92.97,Nation-state,Unpatched Software,VPN,Medium,53.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2016,1,DDoS,Education,21.01,602692,34.86,Hacker Group,Unpatched Software,VPN,Medium,29.0,1,Widespread Low-Loss Events - Phishing-Led
Russia,2022,7,SQL Injection,Banking,60.25,662517,90.94,Unattributed,Social Engineering,Firewall,Medium,40.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2021,6,DDoS,IT,70.26,740257,94.91,Unattributed,Weak Passwords,Encryption,Medium,70.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2019,4,Man-in-the-Middle,Banking,41.32,645097,64.05,Nation-state,Zero-day,Firewall,Medium,36.0,1,Widespread Low-Loss Events - Phishing-Led
India,2020,5,SQL Injection,Education,62.5,550656,113.5,Nation-state,Weak Passwords,Encryption,Medium,4.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2023,8,DDoS,Banking,81.26,547495,148.42,Nation-state,Weak Passwords,AI-based Detection,High,3.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2024,9,DDoS,Healthcare,58.31,487694,119.56,Hacker Group,Weak Passwords,Antivirus,Medium,41.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2023,8,Man-in-the-Middle,IT,10.18,933883,10.9,Nation-state,Social Engineering,Encryption,High,41.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2021,6,Malware,Government,82.72,219703,376.51,Nation-state,Social Engineering,Firewall,High,33.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2022,7,DDoS,Education,82.19,905203,90.8,Hacker Group,Weak Passwords,Antivirus,High,37.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2016,1,Ransomware,Retail,29.48,403737,73.02,Insider,Zero-day,Firewall,Low,26.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2015,0,Ransomware,IT,26.12,21580,1210.38,Unattributed,Weak Passwords,AI-based Detection,Low,14.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2016,1,Phishing,Retail,59.36,967614,61.35,Nation-state,Unpatched Software,AI-based Detection,High,71.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2019,4,Ransomware,IT,68.02,175038,388.6,Hacker Group,Weak Passwords,VPN,Medium,67.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2018,3,Phishing,Banking,98.75,316891,311.62,Hacker Group,Social Engineering,Antivirus,High,55.0,0,High-Loss Targeted Events - DDoS-Led
India,2018,3,Man-in-the-Middle,Healthcare,94.6,7347,12876.0,Insider,Zero-day,AI-based Detection,High,7.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2024,9,Ransomware,Education,11.81,418893,28.19,Insider,Social Engineering,Firewall,Low,31.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2016,1,Man-in-the-Middle,IT,75.51,37230,2028.2,Unattributed,Social Engineering,AI-based Detection,High,52.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,SQL Injection,Healthcare,27.06,999545,27.07,Hacker Group,Social Engineering,Encryption,High,47.0,1,Widespread Low-Loss Events - Phishing-Led
France,2016,1,Ransomware,IT,55.99,724608,77.27,Hacker Group,Social Engineering,Antivirus,Medium,21.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2024,9,Malware,Retail,56.19,114357,491.36,Insider,Zero-day,AI-based Detection,Medium,58.0,0,High-Loss Targeted Events - DDoS-Led
USA,2018,3,Malware,Government,70.53,363432,194.07,Hacker Group,Zero-day,AI-based Detection,Medium,40.0,0,High-Loss Targeted Events - DDoS-Led
UK,2021,6,Malware,Government,64.28,643714,99.86,Nation-state,Weak Passwords,VPN,Medium,25.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2021,6,Ransomware,Government,74.01,956893,77.34,Unattributed,Social Engineering,Antivirus,High,49.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2019,4,Malware,Government,34.4,98018,350.96,Insider,Zero-day,VPN,Low,55.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2021,6,SQL Injection,Telecommunications,11.61,848702,13.68,Unattributed,Weak Passwords,Antivirus,High,48.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2017,2,Man-in-the-Middle,Banking,79.68,712646,111.81,Nation-state,Unpatched Software,AI-based Detection,High,50.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2023,8,SQL Injection,Retail,2.85,30883,92.28,Nation-state,Weak Passwords,AI-based Detection,Low,51.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2016,1,SQL Injection,Government,77.45,632319,122.49,Unattributed,Weak Passwords,AI-based Detection,High,47.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2017,2,Ransomware,Education,88.9,444399,200.05,Insider,Zero-day,Encryption,High,38.0,0,High-Loss Targeted Events - DDoS-Led
China,2019,4,Ransomware,Banking,32.69,713584,45.81,Insider,Weak Passwords,Firewall,Medium,26.0,1,Widespread Low-Loss Events - Phishing-Led
